# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	6.482810e-02	4	1.000000e+00	9.673810e-02	4	false	GAMG	1.000000e+00	9.909630e-02	4	true
2             	smoothSolver	7.591260e-03	3.943040e-04	2	1.032020e-01	6.870250e-03	2	false	GAMG	5.596530e-01	5.103930e-02	6	true
3             	smoothSolver	8.704830e-03	5.893030e-04	2	8.521930e-02	6.302060e-03	2	false	GAMG	3.540630e-02	2.272610e-03	2	true
4             	smoothSolver	7.107710e-03	4.774470e-04	2	8.085760e-02	5.700710e-03	2	false	GAMG	3.910610e-02	3.090700e-03	2	true
5             	smoothSolver	5.753790e-03	3.893320e-04	2	7.931220e-02	5.177240e-03	2	false	GAMG	7.912560e-02	7.027970e-03	2	true
6             	smoothSolver	5.404130e-03	3.718990e-04	2	7.423610e-02	4.857680e-03	2	false	GAMG	8.146580e-02	7.007390e-03	3	true
7             	smoothSolver	5.075400e-03	3.633330e-04	2	6.914760e-02	4.565130e-03	2	false	GAMG	3.457210e-02	3.086920e-03	3	true
8             	smoothSolver	3.990720e-03	2.913560e-04	2	5.881650e-02	3.921710e-03	2	false	GAMG	1.833960e-02	1.522300e-03	3	true
9             	smoothSolver	5.993050e-03	4.425050e-04	2	6.590950e-02	4.407380e-03	2	false	GAMG	1.581930e-02	1.231670e-03	3	true
10            	smoothSolver	5.994240e-03	4.428940e-04	2	6.232030e-02	4.205940e-03	2	false	GAMG	1.369450e-02	1.242230e-03	3	true
11            	smoothSolver	6.073660e-03	4.489240e-04	2	5.971700e-02	4.078180e-03	2	false	GAMG	1.036940e-02	1.028080e-03	3	true
12            	smoothSolver	6.649180e-03	4.932280e-04	2	5.905310e-02	4.077460e-03	2	false	GAMG	9.036960e-03	8.900810e-04	3	true
13            	smoothSolver	6.625040e-03	4.919560e-04	2	5.673270e-02	3.954940e-03	2	false	GAMG	8.376200e-03	8.025090e-04	3	true
14            	smoothSolver	6.521860e-03	4.839690e-04	2	5.446430e-02	3.823110e-03	2	false	GAMG	7.526490e-03	7.236930e-04	3	true
15            	smoothSolver	6.964090e-03	5.174890e-04	2	5.357400e-02	3.792170e-03	2	false	GAMG	7.011200e-03	6.699070e-04	3	true
16            	smoothSolver	6.791420e-03	5.037290e-04	2	5.161750e-02	3.673740e-03	2	false	GAMG	6.380190e-03	5.811800e-04	3	true
17            	smoothSolver	7.460680e-03	5.542760e-04	2	5.156020e-02	3.689190e-03	2	false	GAMG	6.179780e-03	5.042070e-04	3	true
18            	smoothSolver	7.563240e-03	5.620460e-04	2	5.055960e-02	3.629930e-03	2	false	GAMG	6.354230e-03	6.082080e-04	2	true
19            	smoothSolver	7.894600e-03	5.873950e-04	2	5.018070e-02	3.607190e-03	2	false	GAMG	6.967780e-03	5.739700e-04	3	true
20            	smoothSolver	8.113970e-03	6.028600e-04	2	4.963190e-02	3.583260e-03	2	false	GAMG	9.262170e-03	7.269150e-04	2	true
21            	smoothSolver	8.404910e-03	6.255270e-04	2	4.930720e-02	3.556940e-03	2	false	GAMG	1.207200e-02	7.752900e-04	3	true
22            	smoothSolver	9.145590e-03	6.803670e-04	2	4.959310e-02	3.579140e-03	2	false	GAMG	1.442440e-02	1.073090e-03	2	true
23            	smoothSolver	9.041630e-03	6.733680e-04	2	4.904650e-02	3.532360e-03	2	false	GAMG	1.700380e-02	9.959690e-04	3	true
24            	smoothSolver	9.649260e-03	7.178110e-04	2	4.914610e-02	3.538520e-03	2	false	GAMG	1.947340e-02	1.187430e-03	2	true
25            	smoothSolver	9.869710e-03	7.354280e-04	2	4.888200e-02	3.512420e-03	2	false	GAMG	2.182850e-02	1.877370e-03	2	true
26            	smoothSolver	1.005850e-02	7.495260e-04	2	4.867430e-02	3.491740e-03	2	false	GAMG	2.435690e-02	2.043040e-03	2	true
27            	smoothSolver	1.022950e-02	7.624600e-04	2	4.844480e-02	3.467570e-03	2	false	GAMG	2.665110e-02	1.876680e-03	2	true
28            	smoothSolver	1.036720e-02	7.717550e-04	2	4.807690e-02	3.434720e-03	2	false	GAMG	2.896160e-02	2.154360e-03	2	true
29            	smoothSolver	1.046080e-02	7.798680e-04	2	4.785570e-02	3.411470e-03	2	false	GAMG	3.395320e-02	2.912090e-03	2	true
30            	smoothSolver	1.049610e-02	7.835250e-04	2	4.768170e-02	3.388130e-03	2	false	GAMG	3.595820e-02	1.920090e-03	3	true
31            	smoothSolver	1.045680e-02	7.809580e-04	2	4.761430e-02	3.376210e-03	2	false	GAMG	5.485770e-02	2.473520e-03	2	true
32            	smoothSolver	1.039760e-02	7.780160e-04	2	4.753980e-02	3.357920e-03	2	false	GAMG	5.313810e-02	3.444220e-03	2	true
33            	smoothSolver	1.025870e-02	7.696470e-04	2	4.756610e-02	3.365970e-03	2	false	GAMG	5.612180e-02	4.423300e-03	2	true
34            	smoothSolver	1.007030e-02	7.593110e-04	2	4.777410e-02	3.373480e-03	2	false	GAMG	6.032380e-02	3.019830e-03	3	true
35            	smoothSolver	9.798430e-03	7.405800e-04	2	4.786530e-02	3.385520e-03	2	false	GAMG	1.057220e-01	5.206710e-03	2	true
36            	smoothSolver	9.529550e-03	7.228220e-04	2	4.797030e-02	3.402000e-03	2	false	GAMG	1.035140e-01	7.095630e-03	2	true
37            	smoothSolver	9.219330e-03	6.996100e-04	2	4.804450e-02	3.421030e-03	2	false	GAMG	1.227170e-01	5.403730e-03	3	true
38            	smoothSolver	6.946510e-03	5.233560e-04	2	4.718460e-02	3.362480e-03	2	false	GAMG	8.968510e-02	3.920840e-03	2	true
39            	smoothSolver	8.582740e-03	6.459590e-04	2	4.791770e-02	3.437390e-03	2	false	GAMG	8.406270e-02	5.331940e-03	2	true
40            	smoothSolver	8.239500e-03	6.154380e-04	2	4.795560e-02	3.447180e-03	2	false	GAMG	6.951600e-02	5.995920e-03	2	true
41            	smoothSolver	7.853970e-03	5.818070e-04	2	4.782480e-02	3.458610e-03	2	false	GAMG	4.566330e-02	2.677280e-03	2	true
42            	smoothSolver	5.947310e-03	4.333670e-04	2	4.674470e-02	3.402000e-03	2	false	GAMG	3.986640e-02	2.541640e-03	2	true
43            	smoothSolver	7.413170e-03	5.400040e-04	2	4.768670e-02	3.483690e-03	2	false	GAMG	4.168890e-02	2.852470e-03	2	true
44            	smoothSolver	7.182360e-03	5.223040e-04	2	4.766290e-02	3.491710e-03	2	false	GAMG	3.987030e-02	2.718910e-03	2	true
45            	smoothSolver	6.993140e-03	5.082260e-04	2	4.765830e-02	3.513850e-03	2	false	GAMG	3.663370e-02	2.415220e-03	2	true
46            	smoothSolver	6.792550e-03	4.955060e-04	2	4.764340e-02	3.529110e-03	2	false	GAMG	3.699100e-02	2.206430e-03	2	true
47            	smoothSolver	6.704660e-03	4.915070e-04	2	4.762000e-02	3.545600e-03	2	false	GAMG	3.449980e-02	2.192730e-03	2	true
48            	smoothSolver	6.610880e-03	4.888280e-04	2	4.761190e-02	3.553590e-03	2	false	GAMG	3.304490e-02	2.235360e-03	2	true
49            	smoothSolver	5.544380e-03	4.109820e-04	2	4.671370e-02	3.484420e-03	2	false	GAMG	3.389620e-02	2.312330e-03	2	true
50            	smoothSolver	6.512450e-03	4.874570e-04	2	4.738260e-02	3.526070e-03	2	false	GAMG	3.573520e-02	2.427040e-03	2	true
51            	smoothSolver	6.495310e-03	4.899360e-04	2	4.723720e-02	3.503540e-03	2	false	GAMG	3.556410e-02	2.832590e-03	2	true
52            	smoothSolver	6.501640e-03	4.933010e-04	2	4.707480e-02	3.463460e-03	2	false	GAMG	3.881240e-02	3.029370e-03	2	true
53            	smoothSolver	6.477830e-03	4.949660e-04	2	4.681530e-02	3.417390e-03	2	false	GAMG	4.121920e-02	3.043050e-03	2	true
54            	smoothSolver	6.530610e-03	5.016710e-04	2	4.660880e-02	3.384570e-03	2	false	GAMG	4.460930e-02	3.073550e-03	2	true
