# Wall shear stress
# Time        	patch         	min           	max           
100           	lowerWallStartup	(-3.210086e+00 -3.245732e-03 0.000000e+00)	(-1.254030e+00 9.754758e-02 0.000000e+00)
100           	upperWallStartup	(-1.414094e+01 -1.233689e-03 0.000000e+00)	(-2.987096e+00 2.087962e-01 0.000000e+00)
100           	upperWall	(-8.142660e+00 -9.094153e-03 0.000000e+00)	(2.751925e+00 4.587275e-02 0.000000e+00)
100           	verticalWall	(-1.561671e-01 -5.802147e-01 0.000000e+00)	(1.251006e-01 1.686196e-01 0.000000e+00)
100           	lowerWall	(-6.351366e+00 -8.275801e-02 0.000000e+00)	(4.574641e+00 1.132922e-01 0.000000e+00)
200           	lowerWallStartup	(-3.209502e+00 -8.781162e-03 0.000000e+00)	(-1.249698e+00 1.024594e-01 0.000000e+00)
200           	upperWallStartup	(-1.414066e+01 -1.217549e-03 0.000000e+00)	(-3.488808e+00 2.088001e-01 0.000000e+00)
200           	upperWall	(-1.839101e+01 -3.281092e-03 0.000000e+00)	(-2.498359e+00 2.993965e-03 0.000000e+00)
200           	verticalWall	(-3.002528e-01 -6.566507e-01 0.000000e+00)	(1.180728e-01 1.583744e-01 0.000000e+00)
200           	lowerWall	(-1.470188e+01 -1.415510e-01 0.000000e+00)	(5.159496e+00 6.687972e-02 0.000000e+00)
300           	lowerWallStartup	(-3.210010e+00 -3.247355e-03 0.000000e+00)	(-1.253064e+00 8.642703e-02 0.000000e+00)
300           	upperWallStartup	(-1.414103e+01 -1.236077e-03 0.000000e+00)	(-3.504884e+00 2.087947e-01 0.000000e+00)
300           	upperWall	(-3.493225e+00 -5.144533e-05 0.000000e+00)	(-2.183596e+00 1.666181e-04 0.000000e+00)
300           	verticalWall	(-5.991601e-02 -2.348567e-01 0.000000e+00)	(3.629220e-02 1.175889e-01 0.000000e+00)
300           	lowerWall	(-7.283540e+00 -4.948109e-02 0.000000e+00)	(3.468216e+00 2.509386e-02 0.000000e+00)
400           	lowerWallStartup	(-3.209981e+00 -3.248589e-03 0.000000e+00)	(-1.252718e+00 8.105893e-02 0.000000e+00)
400           	upperWallStartup	(-1.414103e+01 -1.235613e-03 0.000000e+00)	(-3.499417e+00 2.087947e-01 0.000000e+00)
400           	upperWall	(-3.491694e+00 1.649042e-06 0.000000e+00)	(-2.440080e+00 1.047420e-04 0.000000e+00)
400           	verticalWall	(-1.585500e-01 -1.071779e+00 0.000000e+00)	(1.394345e-02 4.404150e-02 0.000000e+00)
400           	lowerWall	(-1.972045e+00 -4.664006e-03 0.000000e+00)	(2.207148e+00 5.075395e-03 0.000000e+00)
500           	lowerWallStartup	(-3.209963e+00 -3.248991e-03 0.000000e+00)	(-1.252403e+00 7.860595e-02 0.000000e+00)
500           	upperWallStartup	(-1.414104e+01 -1.235977e-03 0.000000e+00)	(-3.531651e+00 2.087945e-01 0.000000e+00)
500           	upperWall	(-3.524197e+00 -6.816631e-06 0.000000e+00)	(-2.498896e+00 1.003459e-04 0.000000e+00)
