# y+ ()       
# Time        	patch         	min           	max           	average       
100           	lowerWallStartup	3.517073e-01	8.035166e-01	5.936233e-01
100           	upperWallStartup	5.893679e-02	8.250352e+00	6.479191e-01
100           	upperWall	6.305764e-02	6.359576e+00	5.437763e-01
100           	verticalWall	1.038404e-01	7.888149e+00	3.626864e+00
100           	lowerWall	5.400416e-02	2.358726e+00	4.959247e-01
200           	lowerWallStartup	3.516700e-01	7.593887e-01	5.838434e-01
200           	upperWallStartup	5.876786e-02	1.701224e+00	1.717340e-01
200           	upperWall	1.385423e-01	1.664490e+00	6.678257e-01
200           	verticalWall	1.143052e-01	1.131620e+01	5.493529e+00
200           	lowerWall	5.995926e-02	2.724705e+00	8.013286e-01
300           	lowerWallStartup	3.515448e-01	8.844975e-01	6.293627e-01
300           	upperWallStartup	5.509416e-02	1.113116e+00	1.455199e-01
300           	upperWall	5.469776e-02	8.072120e+00	8.111703e-01
300           	verticalWall	7.765716e-01	1.256357e+01	5.336810e+00
300           	lowerWall	8.753037e-02	1.755168e+00	9.119498e-01
400           	lowerWallStartup	3.516906e-01	8.611871e-01	6.201346e-01
400           	upperWallStartup	4.872297e-02	4.448087e-01	1.259323e-01
400           	upperWall	1.484196e-02	9.860202e+00	6.391223e-01
400           	verticalWall	2.276713e-01	5.390170e+00	3.241808e+00
400           	lowerWall	8.933994e-02	1.886556e+00	9.857100e-01
500           	lowerWallStartup	3.517070e-01	8.707791e-01	6.211823e-01
500           	upperWallStartup	5.276173e-02	4.022608e-01	1.213371e-01
500           	upperWall	1.688909e-02	5.863428e+00	4.100277e-01
500           	verticalWall	1.165883e-01	4.788967e+00	2.221214e+00
500           	lowerWall	1.028884e-01	1.512715e+00	9.409621e-01
600           	lowerWallStartup	3.517090e-01	8.527094e-01	6.149519e-01
600           	upperWallStartup	5.375222e-02	1.539559e-01	1.237710e-01
600           	upperWall	3.761647e-02	3.109648e+00	3.648795e-01
600           	verticalWall	7.158998e-02	3.754283e+00	2.317718e+00
600           	lowerWall	4.082263e-03	8.180714e+00	9.618909e-01
700           	lowerWallStartup	3.517007e-01	8.478353e-01	6.119250e-01
