"Cf","Points:0","Points:1","Points:2"
0.00277545,-0.1508,0.0127,0
0.002186641,-0.1456251,0.0127,0
0.002186641,-0.1456251,0.0127,0.01
0.00277545,-0.1508,0.0127,0.01
0.001413085,-0.1405757,0.0127,0
0.001413085,-0.1405757,0.0127,0.01
0.001155609,-0.135649,0.0127,0
0.001155609,-0.135649,0.0127,0.01
0.001137447,-0.1308417,0.0127,0
0.001137447,-0.1308417,0.0127,0.01
0.001253196,-0.1261512,0.0127,0
0.001253196,-0.1261512,0.0127,0.01
0.001350161,-0.1215746,0.0127,0
0.001350161,-0.1215746,0.0127,0.01
0.001407854,-0.117109,0.0127,0
0.001407854,-0.117109,0.0127,0.01
0.001444281,-0.1127518,0.0127,0
0.001444281,-0.1127518,0.0127,0.01
0.001469135,-0.1085003,0.0127,0
0.001469135,-0.1085003,0.0127,0.01
0.001487175,-0.104352,0.0127,0
0.001487175,-0.104352,0.0127,0.01
0.001500625,-0.1003045,0.0127,0
0.001500625,-0.1003045,0.0127,0.01
0.001511139,-0.09635513,0.0127,0
0.001511139,-0.09635513,0.0127,0.01
0.001519958,-0.09250165,0.0127,0
0.001519958,-0.09250165,0.0127,0.01
0.001527796,-0.0887417,0.0127,0
0.001527796,-0.0887417,0.0127,0.01
0.001534968,-0.085073,0.0127,0
0.001534968,-0.085073,0.0127,0.01
0.001541721,-0.08149336,0.0127,0
0.001541721,-0.08149336,0.0127,0.01
0.001548171,-0.07800059,0.0127,0
0.001548171,-0.07800059,0.0127,0.01
0.001554457,-0.07459261,0.0127,0
0.001554457,-0.07459261,0.0127,0.01
0.001560648,-0.07126733,0.0127,0
0.001560648,-0.07126733,0.0127,0.01
0.001566739,-0.06802277,0.0127,0
0.001566739,-0.06802277,0.0127,0.01
0.00157277,-0.06485695,0.0127,0
0.00157277,-0.06485695,0.0127,0.01
0.001578836,-0.06176798,0.0127,0
0.001578836,-0.06176798,0.0127,0.01
0.001585009,-0.05875398,0.0127,0
0.001585009,-0.05875398,0.0127,0.01
0.001591252,-0.05581314,0.0127,0
0.001591252,-0.05581314,0.0127,0.01
0.001597585,-0.05294367,0.0127,0
0.001597585,-0.05294367,0.0127,0.01
0.001604027,-0.05014385,0.0127,0
0.001604027,-0.05014385,0.0127,0.01
0.00161055,-0.04741199,0.0127,0
0.00161055,-0.04741199,0.0127,0.01
0.001617191,-0.04474643,0.0127,0
0.001617191,-0.04474643,0.0127,0.01
0.00162403,-0.04214557,0.0127,0
0.00162403,-0.04214557,0.0127,0.01
0.001631077,-0.03960783,0.0127,0
0.001631077,-0.03960783,0.0127,0.01
0.001638379,-0.03713169,0.0127,0
0.001638379,-0.03713169,0.0127,0.01
0.001645996,-0.03471565,0.0127,0
0.001645996,-0.03471565,0.0127,0.01
0.001653938,-0.03235825,0.0127,0
0.001653938,-0.03235825,0.0127,0.01
0.001662243,-0.03005807,0.0127,0
0.001662243,-0.03005807,0.0127,0.01
0.001670941,-0.02781371,0.0127,0
0.001670941,-0.02781371,0.0127,0.01
0.001680124,-0.02562383,0.0127,0
0.001680124,-0.02562383,0.0127,0.01
0.001689872,-0.0234871,0.0127,0
0.001689872,-0.0234871,0.0127,0.01
0.0017003,-0.02140224,0.0127,0
0.0017003,-0.02140224,0.0127,0.01
0.001711458,-0.01936797,0.0127,0
0.001711458,-0.01936797,0.0127,0.01
0.001723507,-0.01738308,0.0127,0
0.001723507,-0.01738308,0.0127,0.01
0.001736593,-0.01544637,0.0127,0
0.001736593,-0.01544637,0.0127,0.01
0.001750864,-0.01355666,0.0127,0
0.001750864,-0.01355666,0.0127,0.01
0.001766885,-0.01171282,0.0127,0
0.001766885,-0.01171282,0.0127,0.01
0.001784528,-0.009913737,0.0127,0
0.001784528,-0.009913737,0.0127,0.01
0.001806317,-0.008158316,0.0127,0
0.001806317,-0.008158316,0.0127,0.01
0.001829455,-0.006445501,0.0127,0
